Delay [ns]	StS norm
-3.920000e+00	-1.467533e+07
-3.895000e+00	-1.860555e+07
-3.870000e+00	-2.279884e+07
-3.845000e+00	-9.870684e+06
-3.820000e+00	2.913516e+06
-3.795000e+00	7.594798e+06
-3.770000e+00	-3.414849e+06
-3.720000e+00	9.586950e+06
-3.620000e+00	3.968527e+06
-3.520000e+00	-8.720550e+06
-3.470000e+00	-1.232021e+07
-3.170000e+00	9.328728e+06
-2.870000e+00	6.774863e+06
-2.570000e+00	-3.242127e+06
-2.270000e+00	-4.516004e+06
-2.220000e+00	-2.034909e+07
-2.120000e+00	-2.706352e+06
-2.020000e+00	1.878180e+07
-1.970000e+00	-8.941110e+06
-1.945000e+00	1.163543e+07
-1.920000e+00	9.660605e+06
-1.895000e+00	-2.602313e+06
-1.870000e+00	3.933468e+07
-1.845000e+00	-2.925492e+06
-1.820000e+00	-1.554765e+07
-1.795000e+00	-2.850975e+07
-1.770000e+00	1.004530e+06
-1.720000e+00	-3.080033e+07
-1.620000e+00	-7.994368e+05
-1.520000e+00	1.317597e+07
-1.470000e+00	1.644933e+07
-1.170000e+00	2.622272e+07
-8.700000e-01	5.005904e+05
-5.700000e-01	-2.046450e+06
-2.700000e-01	-4.350137e+07
-2.200000e-01	-2.291759e+06
-1.200000e-01	1.402742e+06
-2.000000e-02	7.735098e+06
3.000000e-02	1.135883e+07
5.500000e-02	2.161554e+07
8.000000e-02	1.671445e+07
1.050000e-01	2.729181e+07
1.300000e-01	1.303908e+07
1.550000e-01	-6.419692e+06
1.800000e-01	-2.529850e+07
2.050000e-01	-3.455141e+06
2.300000e-01	-1.531821e+07
2.800000e-01	1.797546e+07
3.800000e-01	-3.013096e+07
4.800000e-01	-2.016994e+07
5.300000e-01	1.378138e+07
8.300000e-01	8.772390e+05
1.130000e+00	5.674315e+07
1.430000e+00	2.045787e+08
1.730000e+00	2.269794e+08
1.780000e+00	1.775277e+08
1.880000e+00	1.963194e+08
1.980000e+00	2.204806e+08
2.030000e+00	1.950810e+08
2.055000e+00	1.706546e+08
2.080000e+00	1.443330e+08
2.105000e+00	1.340725e+08
2.130000e+00	5.247285e+07
2.155000e+00	6.319325e+06
2.180000e+00	6.104632e+06
2.205000e+00	1.947918e+07
2.230000e+00	-3.361481e+07
2.280000e+00	-1.180394e+07
2.380000e+00	5.632109e+07
2.480000e+00	4.123067e+07
2.530000e+00	1.292482e+06
2.830000e+00	2.783016e+06
3.130000e+00	7.349546e+07
3.430000e+00	1.382309e+08
3.730000e+00	1.459560e+08
3.780000e+00	1.393997e+08
3.880000e+00	1.137414e+08
3.980000e+00	1.521877e+08
4.030000e+00	1.692972e+08
4.055000e+00	1.484542e+08
4.080000e+00	1.897788e+08
4.105000e+00	1.611208e+08
4.130000e+00	1.381879e+08
4.155000e+00	1.618582e+08
4.180000e+00	1.785316e+08
4.205000e+00	1.635147e+08
4.230000e+00	1.788336e+08
4.280000e+00	1.704334e+08
4.380000e+00	1.753328e+08
4.480000e+00	1.579154e+08
4.530000e+00	1.447324e+08
