# Delay[ns]	Avg Transient	0190 Delay[ns]	0190 Transient	0191 Delay[ns]	0191 Transient	0192 Delay[ns]	0192 Transient	0193 Delay[ns]	0193 Transient	0214 Delay[ns]	0214 Transient	0215 Delay[ns]	0215 Transient	0262 Delay[ns]	0262 Transient	0263 Delay[ns]	0263 Transient	0264 Delay[ns]	0264 Transient
9.015000e+01	8.381942e-03	7.415000e+01	8.498582e-03	7.815000e+01	1.501302e-02	8.415000e+01	-3.953709e-03	6.615000e+01	1.096206e-02	7.615000e+01	3.009627e-03	8.615000e+01	1.449432e-03	8.215000e+01	-2.062150e-03	7.415000e+01	4.186711e-03	7.215000e+01	-1.576551e-03
9.415000e+01	9.692623e-03	7.615000e+01	8.617313e-03	8.015000e+01	6.111993e-03	8.615000e+01	5.629919e-03	6.815000e+01	1.544212e-02	7.815000e+01	2.271350e-02	8.815000e+01	4.077340e-03	8.615000e+01	1.248969e-02	7.615000e+01	5.530515e-03	7.615000e+01	-8.552121e-03
9.815000e+01	8.836889e-03	7.815000e+01	1.391822e-02	8.415000e+01	8.334543e-03	8.815000e+01	7.782151e-03	7.015000e+01	7.224073e-03	8.015000e+01	3.412409e-03	9.015000e+01	5.874000e-03	8.815000e+01	2.025376e-02	8.015000e+01	9.411290e-03	7.815000e+01	2.024334e-02
1.001500e+02	1.177611e-02	8.015000e+01	1.771903e-02	8.615000e+01	2.080690e-02	9.015000e+01	1.029435e-02	7.215000e+01	9.499569e-03	8.215000e+01	8.785339e-03	9.215000e+01	4.042986e-03	9.015000e+01	8.878146e-03	8.415000e+01	7.852342e-03	8.015000e+01	1.453690e-02
1.041500e+02	5.899246e-03	8.415000e+01	1.210361e-02	8.815000e+01	6.261337e-03	9.215000e+01	6.324915e-03	7.615000e+01	8.634713e-03	8.415000e+01	-1.421138e-04	9.415000e+01	1.443642e-02	9.415000e+01	6.997618e-03	8.615000e+01	2.159515e-03	8.415000e+01	3.982134e-02
1.061500e+02	4.734631e-03	8.615000e+01	1.180324e-02	9.015000e+01	1.505422e-02	9.415000e+01	5.800782e-03	7.815000e+01	1.036302e-02	8.815000e+01	1.332146e-03	9.615000e+01	1.285827e-02	9.615000e+01	5.778973e-03	8.815000e+01	4.288388e-03	8.615000e+01	-1.405215e-02
1.081500e+02	1.058216e-02	8.815000e+01	5.280190e-03	9.215000e+01	1.219501e-02	9.615000e+01	6.735751e-03	8.015000e+01	9.101682e-03	9.015000e+01	1.145173e-02	1.001500e+02	2.420053e-02	9.815000e+01	2.139851e-02	9.015000e+01	1.828437e-02	8.815000e+01	5.668147e-03
1.101500e+02	9.888048e-03	9.015000e+01	1.342026e-02	9.615000e+01	1.944955e-03	9.815000e+01	7.202091e-03	8.215000e+01	1.540211e-02	9.215000e+01	9.073598e-03	1.021500e+02	1.821664e-02	1.001500e+02	1.051668e-02	9.215000e+01	1.408316e-02	9.015000e+01	6.116441e-03
1.121500e+02	5.820984e-03	9.215000e+01	9.360135e-03	1.001500e+02	-2.095409e-03	1.001500e+02	1.335765e-02	8.415000e+01	1.654871e-02	9.415000e+01	9.264784e-03	1.041500e+02	1.163024e-02	1.041500e+02	5.204471e-03	9.415000e+01	1.906712e-02	9.215000e+01	1.125712e-02
1.141500e+02	7.475612e-03	9.415000e+01	1.511370e-02	1.021500e+02	1.132112e-02	1.021500e+02	-2.484037e-03	8.615000e+01	-1.734034e-04	9.815000e+01	6.159290e-03	1.061500e+02	-6.317645e-03	1.061500e+02	-1.307309e-05	9.815000e+01	4.474800e-03	9.415000e+01	2.143878e-03
