# Delay[ns]	Avg Transient	0148 Delay[ns]	0148 Transient	0149 Delay[ns]	0149 Transient	0150 Delay[ns]	0150 Transient	0151 Delay[ns]	0151 Transient	0152 Delay[ns]	0152 Transient	0216 Delay[ns]	0216 Transient	0217 Delay[ns]	0217 Transient	0218 Delay[ns]	0218 Transient
1.415000e+01	-9.574765e-03	1.415000e+01	-2.060798e-03	1.215000e+01	2.016893e-02	6.150000e+00	6.671659e-02	6.150000e+00	5.291400e-02	6.150000e+00	4.904657e-02	2.215000e+01	4.650819e-02	1.615000e+01	-8.954552e-02	1.815000e+01	1.409018e-02
1.615000e+01	-4.453576e-03	1.615000e+01	1.955636e-02	1.415000e+01	-2.060288e-02	8.150000e+00	5.401910e-02	8.150000e+00	-8.697159e-03	8.150000e+00	4.662162e-02	2.415000e+01	-2.476086e-04	1.815000e+01	-7.651193e-03	2.015000e+01	8.327795e-03
1.815000e+01	5.332274e-03	1.815000e+01	1.469657e-02	1.615000e+01	1.170153e-02	1.215000e+01	-1.163123e-02	1.015000e+01	3.546000e-02	1.215000e+01	8.426584e-02	2.615000e+01	3.032431e-02	2.015000e+01	-1.121167e-02	2.215000e+01	2.297587e-02
2.215000e+01	1.087051e-02	2.015000e+01	2.505076e-02	1.815000e+01	-5.855005e-03	1.615000e+01	6.973749e-02	1.415000e+01	-5.907649e-02	1.415000e+01	7.835140e-03	2.815000e+01	1.904980e-02	2.415000e+01	-1.114610e-02	2.415000e+01	4.420567e-03
2.615000e+01	2.805933e-02	2.215000e+01	2.869340e-02	2.015000e+01	-5.541897e-03	1.815000e+01	-2.845858e-02	1.615000e+01	-3.928166e-02	1.615000e+01	-2.128871e-02	3.015000e+01	1.830849e-02	2.615000e+01	-3.867692e-03	2.615000e+01	4.029135e-02
2.815000e+01	1.975037e-02	2.415000e+01	2.923638e-02	2.215000e+01	7.666174e-03	2.015000e+01	-6.224267e-03	1.815000e+01	-2.869057e-02	1.815000e+01	6.581958e-02	3.215000e+01	-1.850414e-02	2.815000e+01	5.539579e-03	2.815000e+01	4.644702e-02
3.015000e+01	3.216934e-02	2.615000e+01	1.030589e-01	2.415000e+01	-1.193838e-02	2.215000e+01	6.836781e-03	2.215000e+01	-6.283331e-02	2.215000e+01	4.034408e-02	3.615000e+01	-3.380903e-05	3.015000e+01	9.614487e-03	3.015000e+01	4.392331e-02
3.415000e+01	6.207806e-03	2.815000e+01	4.788832e-02	2.615000e+01	2.114285e-02	2.415000e+01	-1.514479e-02	2.615000e+01	-4.601885e-03	2.415000e+01	4.410565e-03	3.815000e+01	3.144762e-02	3.215000e+01	-4.517962e-02	3.215000e+01	1.680922e-02
3.615000e+01	9.191805e-03	3.015000e+01	3.293469e-02	2.815000e+01	4.283491e-02	2.815000e+01	-1.353021e-02	2.815000e+01	-6.221036e-03	2.615000e+01	5.238867e-02	4.015000e+01	4.292682e-02	3.415000e+01	6.118416e-03	3.415000e+01	3.758753e-02
3.815000e+01	2.381703e-02	3.215000e+01	3.693211e-02	3.015000e+01	4.038826e-02	3.215000e+01	6.161253e-03	3.015000e+01	3.439325e-02	2.815000e+01	1.599454e-02	4.215000e+01	-6.702560e-03	3.615000e+01	8.225561e-03	3.615000e+01	-1.760283e-02
4.015000e+01	1.445395e-02	3.415000e+01	2.171760e-02	3.215000e+01	2.744811e-02	3.415000e+01	-6.056779e-03	3.215000e+01	3.853605e-02	3.215000e+01	-1.392079e-02	4.415000e+01	4.453679e-02	3.815000e+01	-6.100607e-03	3.815000e+01	6.350763e-02
4.215000e+01	1.375777e-02	3.615000e+01	5.334209e-02	3.415000e+01	-5.065949e-02	3.615000e+01	2.221614e-02	3.615000e+01	-1.087052e-02	3.415000e+01	3.032576e-02	4.815000e+01	1.349596e-02	4.015000e+01	-1.852671e-02	4.015000e+01	2.196722e-02
4.415000e+01	7.166830e-04	3.815000e+01	7.032687e-02	3.615000e+01	-7.901709e-03	3.815000e+01	-4.500752e-03	3.815000e+01	4.131768e-02	3.615000e+01	2.615950e-02	5.015000e+01	-1.392392e-03	4.215000e+01	1.648052e-02	4.215000e+01	4.750135e-02
4.815000e+01	-3.596956e-03	4.215000e+01	4.764459e-02	3.815000e+01	2.109706e-02	4.015000e+01	-5.676883e-03	4.015000e+01	5.050188e-02	3.815000e+01	-2.655929e-02	5.215000e+01	1.638821e-02	4.415000e+01	4.029575e-02	4.415000e+01	-2.686187e-02
5.015000e+01	3.471445e-03	4.415000e+01	1.965470e-03	4.215000e+01	-2.044116e-02	4.215000e+01	3.960694e-02	4.215000e+01	-8.133869e-04	4.015000e+01	2.929690e-02	5.415000e+01	6.469177e-03	4.615000e+01	2.394045e-02	4.815000e+01	-5.487200e-03
5.415000e+01	6.678683e-03	4.615000e+01	-1.231776e-03	4.415000e+01	-2.704372e-03	4.415000e+01	-3.672478e-02	4.415000e+01	1.354764e-02	4.215000e+01	-1.321412e-02	5.815000e+01	4.006071e-02	4.815000e+01	-4.959912e-02	5.015000e+01	2.139895e-02
