# Delay[ns]	Avg Transient	019 Delay[ns]	019 Transient	0196 Delay[ns]	0196 Transient	0197 Delay[ns]	0197 Transient	019 Delay[ns]	019 Transient	0199 Delay[ns]	0199 Transient	0201 Delay[ns]	0201 Transient	0202 Delay[ns]	0202 Transient
7.615000e+01	2.826192e-02	7.615000e+01	3.740172e-02	7.615000e+01	3.875601e-02	7.615000e+01	3.413275e-02	8.815000e+01	4.398149e-02	8.815000e+01	8.768130e-03	8.815000e+01	2.395804e-02	8.815000e+01	1.429700e-02
7.815000e+01	2.965477e-02	7.815000e+01	2.287817e-02	7.815000e+01	3.771528e-02	7.815000e+01	4.063365e-02	9.015000e+01	1.267225e-02	9.015000e+01	-1.824282e-03	9.015000e+01	1.393069e-02	9.015000e+01	1.828081e-02
8.015000e+01	1.292091e-02	8.015000e+01	1.038624e-02	8.015000e+01	1.072675e-02	8.015000e+01	-8.843434e-03	9.215000e+01	1.738083e-02	9.215000e+01	1.327565e-02	9.215000e+01	2.785677e-02	9.215000e+01	1.671121e-02
8.215000e+01	2.481568e-02	8.215000e+01	9.487951e-03	8.215000e+01	5.071649e-02	8.215000e+01	1.679564e-02	9.415000e+01	2.646065e-02	9.415000e+01	-1.836897e-02	9.415000e+01	3.651191e-02	9.415000e+01	2.157785e-02
8.415000e+01	1.890141e-02	8.415000e+01	2.709138e-03	8.415000e+01	3.865742e-02	8.415000e+01	1.692032e-02	9.615000e+01	3.572136e-02	9.615000e+01	1.318438e-02	9.615000e+01	1.771159e-02	9.615000e+01	6.575622e-04
8.615000e+01	2.532997e-02	8.615000e+01	2.626166e-02	8.615000e+01	4.971266e-02	8.615000e+01	2.564719e-02	9.815000e+01	2.040762e-02	9.815000e+01	3.545619e-02	9.815000e+01	2.323061e-03	9.815000e+01	1.745343e-02
8.815000e+01	2.596285e-02	8.815000e+01	3.836900e-02	8.815000e+01	1.298330e-02	8.815000e+01	3.938297e-02	1.001500e+02	1.054219e-02	1.001500e+02	2.478381e-02	1.001500e+02	5.832836e-03	1.001500e+02	9.279062e-03
9.015000e+01	1.803354e-02	9.015000e+01	2.274771e-02	9.015000e+01	2.806167e-02	9.015000e+01	3.236594e-02	1.021500e+02	3.123930e-02	1.021500e+02	2.334544e-02	1.021500e+02	-1.318925e-03	1.021500e+02	2.835373e-02
9.215000e+01	1.786484e-02	9.215000e+01	2.734778e-02	9.215000e+01	4.586665e-03	9.215000e+01	1.789498e-02	1.041500e+02	4.611935e-02	1.041500e+02	2.663348e-02	1.041500e+02	1.081356e-02	1.041500e+02	-5.954686e-03
9.415000e+01	1.461537e-02	9.415000e+01	2.511554e-02	9.415000e+01	-1.263208e-02	9.415000e+01	2.364265e-02	1.061500e+02	2.322288e-02	1.061500e+02	2.258859e-02	1.061500e+02	1.248038e-02	1.061500e+02	2.797664e-02
9.615000e+01	2.177052e-02	9.615000e+01	4.786932e-02	9.615000e+01	2.772556e-03	9.615000e+01	3.447686e-02	1.081500e+02	3.008012e-03	1.081500e+02	-7.455680e-03	1.081500e+02	1.022546e-02	1.081500e+02	3.566246e-03
9.815000e+01	1.856648e-02	9.815000e+01	1.976711e-04	9.815000e+01	2.997740e-02	9.815000e+01	2.414999e-02	1.101500e+02	2.260370e-02	1.101500e+02	3.855292e-02	1.101500e+02	1.575001e-02	1.101500e+02	1.211083e-02
1.001500e+02	1.686980e-02	1.001500e+02	2.948383e-02	1.001500e+02	2.995508e-02	1.001500e+02	8.211816e-03	1.121500e+02	5.291144e-02	1.121500e+02	2.200758e-02	1.121500e+02	1.540998e-02	1.121500e+02	1.836748e-02
