# Delay[ns]	Avg Transient	0233 Delay[ns]	0233 Transient	0234 Delay[ns]	0234 Transient	0235 Delay[ns]	0235 Transient	0236 Delay[ns]	0236 Transient	0237 Delay[ns]	0237 Transient	0241 Delay[ns]	0241 Transient	0256 Delay[ns]	0256 Transient	0260 Delay[ns]	0260 Transient
1.681500e+02	2.109104e-03	1.361500e+02	-8.215579e-03	1.481500e+02	5.989118e-03	1.381500e+02	1.724511e-02	1.241500e+02	3.587325e-04	1.381500e+02	1.609543e-02	1.421500e+02	3.885071e-03	1.181500e+02	6.716906e-03	1.261500e+02	-3.583622e-03
1.701500e+02	1.036933e-02	1.381500e+02	-1.675188e-03	1.521500e+02	2.181532e-02	1.401500e+02	1.114050e-02	1.261500e+02	2.296452e-02	1.401500e+02	-1.615248e-02	1.441500e+02	1.999301e-02	1.201500e+02	6.301159e-03	1.281500e+02	1.547777e-02
1.721500e+02	6.496142e-03	1.401500e+02	1.077990e-02	1.541500e+02	-1.074962e-02	1.421500e+02	5.281626e-03	1.281500e+02	1.023048e-02	1.421500e+02	1.189727e-02	1.461500e+02	3.059207e-02	1.221500e+02	7.950312e-03	1.301500e+02	-2.637243e-03
1.741500e+02	5.808030e-03	1.421500e+02	-1.238634e-02	1.581500e+02	1.783814e-02	1.441500e+02	1.037430e-02	1.301500e+02	5.849116e-03	1.441500e+02	1.298314e-02	1.481500e+02	-7.143977e-03	1.241500e+02	2.192171e-02	1.341500e+02	2.014914e-02
1.761500e+02	1.330095e-02	1.461500e+02	2.279023e-02	1.601500e+02	5.307449e-03	1.461500e+02	1.163030e-02	1.321500e+02	-7.354989e-03	1.461500e+02	-7.279475e-03	1.501500e+02	2.190235e-02	1.261500e+02	1.327196e-02	1.361500e+02	2.071820e-02
1.781500e+02	6.426111e-03	1.481500e+02	3.575577e-03	1.621500e+02	2.078759e-03	1.501500e+02	8.470951e-04	1.341500e+02	-3.203040e-03	1.501500e+02	-6.680290e-03	1.521500e+02	6.131287e-03	1.281500e+02	1.130059e-02	1.381500e+02	2.454832e-02
1.801500e+02	4.500216e-03	1.501500e+02	1.050167e-02	1.641500e+02	-4.011481e-03	1.521500e+02	5.520856e-03	1.361500e+02	-2.266160e-03	1.521500e+02	-1.154781e-02	1.541500e+02	1.312112e-02	1.301500e+02	5.017339e-03	1.401500e+02	1.912468e-02
1.821500e+02	-1.548306e-03	1.521500e+02	7.775663e-03	1.661500e+02	1.733760e-03	1.541500e+02	-5.733979e-03	1.381500e+02	1.876552e-02	1.541500e+02	-1.335840e-02	1.561500e+02	1.619395e-02	1.321500e+02	9.593208e-03	1.421500e+02	2.690631e-02
1.841500e+02	1.061922e-02	1.561500e+02	8.112801e-03	1.681500e+02	-2.490073e-04	1.561500e+02	7.763287e-04	1.401500e+02	8.009441e-03	1.561500e+02	2.843428e-03	1.601500e+02	1.610956e-02	1.341500e+02	1.838671e-02	1.441500e+02	4.116083e-03
1.881500e+02	-2.278743e-03	1.601500e+02	2.001096e-02	1.701500e+02	1.054369e-02	1.581500e+02	1.305013e-02	1.421500e+02	1.020744e-02	1.601500e+02	-1.766513e-04	1.621500e+02	2.153544e-03	1.361500e+02	3.252766e-02	1.481500e+02	1.330432e-03
1.901500e+02	8.562268e-03	1.621500e+02	-1.154631e-02	1.721500e+02	2.417473e-02	1.601500e+02	2.484155e-02	1.441500e+02	-5.388970e-03	1.621500e+02	5.712182e-03	1.641500e+02	2.315298e-03	1.381500e+02	1.493845e-02	1.521500e+02	1.388576e-02
1.921500e+02	2.951061e-03	1.641500e+02	-4.729487e-03	1.741500e+02	6.764477e-03	1.621500e+02	1.432879e-02	1.461500e+02	4.998464e-03	1.641500e+02	1.238168e-02	1.661500e+02	2.117074e-02	1.401500e+02	1.691452e-02	1.541500e+02	3.254493e-02
1.961500e+02	7.755564e-03	1.661500e+02	-2.377029e-03	1.781500e+02	1.083476e-02	1.641500e+02	2.411172e-02	1.481500e+02	7.846599e-03	1.661500e+02	4.198048e-03	1.681500e+02	-5.528291e-04	1.421500e+02	8.927095e-03	1.561500e+02	-5.362700e-04
1.981500e+02	3.724338e-03	1.701500e+02	-2.222739e-03	1.801500e+02	4.167520e-02	1.661500e+02	-1.705717e-02	1.501500e+02	-8.736799e-03	1.681500e+02	1.758894e-02	1.701500e+02	1.448750e-02	1.441500e+02	6.897388e-03	1.581500e+02	2.941882e-02
2.001500e+02	9.612972e-03	1.721500e+02	-3.559865e-03	1.841500e+02	5.311547e-03	1.681500e+02	-2.724522e-02	1.521500e+02	1.928771e-02	1.721500e+02	-4.214864e-03	1.741500e+02	3.011288e-02	1.461500e+02	4.103401e-03	1.601500e+02	1.239697e-02
2.021500e+02	5.957580e-03	1.741500e+02	-4.564296e-04	1.861500e+02	1.867651e-02	1.701500e+02	2.561115e-02	1.541500e+02	1.350546e-02	1.741500e+02	5.805039e-03	1.761500e+02	5.444985e-03	1.481500e+02	1.210925e-03	1.621500e+02	2.809624e-03
2.041500e+02	5.845458e-03	1.761500e+02	4.514180e-03	1.881500e+02	-1.289875e-02	1.741500e+02	1.491901e-02	1.561500e+02	-3.633958e-03	1.761500e+02	1.542234e-02	1.781500e+02	-3.992992e-03	1.501500e+02	-3.400050e-03	1.641500e+02	3.997521e-02
2.061500e+02	8.688719e-03	1.781500e+02	7.152330e-03	1.901500e+02	1.413929e-02	1.761500e+02	6.130171e-03	1.581500e+02	1.948134e-03	1.781500e+02	2.428354e-02	1.801500e+02	-3.016382e-03	1.521500e+02	2.182485e-02	1.661500e+02	-7.125104e-03
2.081500e+02	6.211823e-03	1.801500e+02	-6.311917e-03	1.921500e+02	1.657130e-02	1.801500e+02	-7.200671e-03	1.601500e+02	1.128622e-02	1.801500e+02	2.091882e-02	1.821500e+02	-1.208632e-02	1.561500e+02	1.374767e-02	1.681500e+02	1.979416e-02
2.101500e+02	3.871696e-03	1.821500e+02	-1.828425e-02	1.941500e+02	1.657102e-02	1.821500e+02	6.064109e-03	1.621500e+02	-4.222985e-05	1.821500e+02	-1.472938e-03	1.841500e+02	2.019152e-02	1.581500e+02	7.882317e-03	1.721500e+02	2.446226e-02
2.121500e+02	8.475178e-03	1.841500e+02	1.010613e-02	1.961500e+02	1.092606e-02	1.841500e+02	2.450429e-02	1.641500e+02	1.561404e-02	1.861500e+02	-9.555777e-03	1.861500e+02	2.225135e-02	1.601500e+02	2.044236e-02	1.741500e+02	3.622669e-03
2.141500e+02	7.234159e-03	1.881500e+02	1.014318e-02	1.981500e+02	1.332569e-02	1.861500e+02	4.918432e-03	1.661500e+02	2.896708e-02	1.881500e+02	-4.649126e-03	1.881500e+02	-2.081527e-02	1.621500e+02	9.159401e-03	1.781500e+02	5.418697e-03
2.161500e+02	4.016272e-03	1.901500e+02	1.825703e-03	2.021500e+02	5.000088e-03	1.881500e+02	1.478718e-02	1.681500e+02	2.228023e-02	1.901500e+02	2.800231e-02	1.901500e+02	2.304955e-02	1.641500e+02	2.966088e-03	1.801500e+02	1.096411e-02
2.181500e+02	1.791337e-02	1.941500e+02	1.182801e-02	2.041500e+02	1.031196e-02	1.901500e+02	1.179795e-02	1.701500e+02	1.988211e-02	1.921500e+02	1.854899e-03	1.921500e+02	2.041377e-02	1.661500e+02	1.615180e-02	1.821500e+02	-3.209165e-02
2.201500e+02	7.718681e-03	1.961500e+02	1.154344e-02	2.061500e+02	6.914130e-03	1.921500e+02	8.359702e-03	1.721500e+02	-2.082697e-03	1.941500e+02	1.869430e-04	1.941500e+02	1.955761e-02	1.681500e+02	-2.543300e-04	1.841500e+02	1.173883e-02
2.221500e+02	8.126433e-03	1.981500e+02	-8.103748e-03	2.081500e+02	2.584282e-02	1.941500e+02	1.382802e-02	1.741500e+02	-1.759168e-02	1.961500e+02	1.527523e-03	1.961500e+02	1.043128e-02	1.701500e+02	1.714053e-03	1.861500e+02	2.329223e-02
2.241500e+02	6.676836e-04	2.001500e+02	8.556559e-03	2.101500e+02	1.197967e-02	1.961500e+02	2.491177e-02	1.761500e+02	3.205516e-02	1.981500e+02	-2.482314e-03	1.981500e+02	1.538965e-02	1.721500e+02	8.433343e-03	1.881500e+02	-1.327415e-02
2.261500e+02	1.598007e-03	2.041500e+02	1.983922e-03	2.141500e+02	2.326084e-03	1.981500e+02	-1.197564e-02	1.781500e+02	8.754109e-04	2.021500e+02	-1.160185e-02	2.001500e+02	1.853900e-03	1.741500e+02	3.288263e-03	1.921500e+02	-1.957345e-02
2.281500e+02	1.090764e-02	2.061500e+02	-8.174192e-03	2.161500e+02	-4.467155e-03	2.001500e+02	2.376042e-02	1.801500e+02	-2.105131e-02	2.041500e+02	2.488374e-03	2.021500e+02	1.260396e-02	1.761500e+02	2.935704e-02	1.941500e+02	-1.456192e-03
2.301500e+02	4.790582e-03	2.081500e+02	1.236723e-02	2.181500e+02	2.959708e-02	2.021500e+02	1.277853e-02	1.821500e+02	2.544046e-02	2.061500e+02	3.030556e-03	2.041500e+02	-2.465211e-03	1.781500e+02	-1.713794e-03	1.981500e+02	1.093716e-02
