# Delay[ns]	Avg Transient	0233 Delay[ns]	0233 Transient	0234 Delay[ns]	0234 Transient	0235 Delay[ns]	0235 Transient	0236 Delay[ns]	0236 Transient	0237 Delay[ns]	0237 Transient	0241 Delay[ns]	0241 Transient	0256 Delay[ns]	0256 Transient	0260 Delay[ns]	0260 Transient
8.015000e+01	-2.349981e-02	8.015000e+01	-5.616923e-02	8.015000e+01	-3.505651e-03	8.015000e+01	-1.229420e-02	8.015000e+01	-3.245511e-02	8.015000e+01	5.488923e-04	8.015000e+01	-4.577599e-02	8.015000e+01	-2.880125e-02	8.015000e+01	-9.545919e-03
8.215000e+01	-1.634545e-02	8.215000e+01	-2.517139e-02	8.215000e+01	2.098987e-02	8.215000e+01	-3.017138e-02	8.215000e+01	-1.259749e-02	8.215000e+01	-2.374335e-02	8.215000e+01	-6.776519e-03	8.215000e+01	-4.699380e-02	8.215000e+01	-6.299556e-03
8.415000e+01	-8.294700e-03	8.415000e+01	-3.102658e-02	8.415000e+01	1.524250e-02	8.415000e+01	-3.438477e-03	8.415000e+01	-5.630131e-03	8.415000e+01	-2.526664e-02	8.415000e+01	7.870016e-03	8.415000e+01	-8.615395e-03	8.415000e+01	-1.549288e-02
8.615000e+01	-4.525004e-03	8.615000e+01	-4.028041e-02	8.615000e+01	1.389946e-02	8.615000e+01	4.712792e-03	8.615000e+01	-6.940416e-03	8.615000e+01	6.091168e-02	8.615000e+01	-2.918540e-02	8.615000e+01	-2.535171e-02	8.615000e+01	-1.396602e-02
8.815000e+01	-1.345262e-02	8.815000e+01	-3.568993e-02	8.815000e+01	1.137367e-02	8.815000e+01	-3.061451e-02	8.815000e+01	-1.848033e-02	8.815000e+01	-1.443771e-02	8.815000e+01	5.853045e-03	8.815000e+01	-2.777148e-02	8.815000e+01	2.146331e-03
9.015000e+01	-6.785707e-03	9.015000e+01	-3.329967e-02	9.015000e+01	1.974680e-02	9.015000e+01	-3.830777e-02	9.015000e+01	4.209496e-02	9.015000e+01	-5.201537e-02	9.015000e+01	1.456362e-02	9.015000e+01	-1.591128e-02	9.015000e+01	8.843065e-03
9.215000e+01	-1.685163e-03	9.215000e+01	4.187969e-03	9.215000e+01	-8.203125e-03	9.215000e+01	4.077808e-03	9.215000e+01	1.242766e-02	9.215000e+01	1.033320e-02	9.215000e+01	-2.479652e-02	9.215000e+01	-1.001812e-02	9.215000e+01	-1.490164e-03
9.415000e+01	-3.999881e-03	9.415000e+01	1.617722e-02	9.415000e+01	-6.410926e-03	9.415000e+01	2.497746e-02	9.415000e+01	-1.564529e-02	9.415000e+01	4.809381e-03	9.415000e+01	-1.631196e-02	9.415000e+01	-7.906849e-03	9.415000e+01	-3.168809e-02
9.615000e+01	-1.768558e-02	9.615000e+01	-4.465351e-03	9.615000e+01	-6.926698e-02	9.615000e+01	-2.198818e-02	9.615000e+01	8.983037e-03	9.615000e+01	-2.617041e-02	9.615000e+01	-2.098845e-02	9.615000e+01	-1.682042e-02	9.615000e+01	9.232096e-03
9.815000e+01	-1.163612e-02	9.815000e+01	-2.894927e-02	9.815000e+01	3.269383e-02	9.815000e+01	-6.824624e-03	9.815000e+01	-5.002467e-02	9.815000e+01	-1.438801e-03	9.815000e+01	-2.576567e-02	9.815000e+01	-3.487868e-02	9.815000e+01	2.209895e-02
1.001500e+02	-4.246373e-03	1.001500e+02	-8.755271e-03	1.001500e+02	2.469671e-02	1.001500e+02	1.012768e-02	1.001500e+02	2.248685e-02	1.001500e+02	-4.831706e-02	1.001500e+02	-7.663036e-03	1.001500e+02	-3.064762e-02	1.001500e+02	4.100758e-03
1.021500e+02	-9.360078e-03	1.021500e+02	-3.389563e-02	1.021500e+02	1.081110e-02	1.021500e+02	6.513064e-03	1.021500e+02	4.271394e-03	1.021500e+02	1.519986e-02	1.021500e+02	-5.001254e-03	1.021500e+02	-3.324310e-02	1.021500e+02	-3.953605e-02
1.041500e+02	-1.410989e-02	1.041500e+02	1.255923e-02	1.041500e+02	-4.969987e-02	1.041500e+02	5.067216e-03	1.041500e+02	-9.578934e-03	1.041500e+02	-9.811957e-03	1.041500e+02	-2.850904e-02	1.041500e+02	-5.212991e-02	1.041500e+02	1.922412e-02
1.061500e+02	-1.407324e-02	1.061500e+02	-1.396472e-02	1.061500e+02	1.811796e-02	1.061500e+02	1.782316e-03	1.061500e+02	-1.306594e-02	1.061500e+02	-2.011771e-02	1.061500e+02	-2.730214e-02	1.061500e+02	-3.002231e-02	1.061500e+02	-2.801339e-02
1.081500e+02	-1.593225e-02	1.081500e+02	-3.970031e-02	1.081500e+02	9.819350e-03	1.081500e+02	-2.237568e-02	1.081500e+02	3.064398e-03	1.081500e+02	-2.907730e-02	1.081500e+02	-3.216640e-02	1.081500e+02	-4.100717e-02	1.081500e+02	2.398513e-02
1.101500e+02	-3.851173e-03	1.101500e+02	1.102171e-02	1.101500e+02	-3.236713e-02	1.101500e+02	2.260439e-02	1.101500e+02	2.998715e-02	1.101500e+02	9.414232e-03	1.101500e+02	-3.418151e-03	1.101500e+02	-2.551446e-02	1.101500e+02	-4.253714e-02
1.121500e+02	-1.172099e-02	1.121500e+02	1.185418e-02	1.121500e+02	8.159730e-03	1.121500e+02	-2.423195e-02	1.121500e+02	-7.951515e-03	1.121500e+02	-1.766899e-02	1.121500e+02	8.927227e-03	1.121500e+02	-3.482786e-02	1.121500e+02	-3.802870e-02
1.141500e+02	-1.114433e-02	1.141500e+02	3.318354e-02	1.141500e+02	-2.227595e-02	1.141500e+02	2.272539e-02	1.141500e+02	-1.553392e-02	1.141500e+02	1.462348e-02	1.141500e+02	-1.302881e-02	1.141500e+02	-7.477762e-02	1.141500e+02	-3.407076e-02
