# Delay[ns]	Avg Transient	0137 Delay[ns]	0137 Transient	0138 Delay[ns]	0138 Transient	0139 Delay[ns]	0139 Transient
1.641500e+02	2.908600e-02	1.601500e+02	5.612143e-02	1.721500e+02	7.040483e-02	1.501500e+02	2.378778e-02
1.661500e+02	1.538465e-02	1.621500e+02	3.207129e-02	1.741500e+02	1.507352e-02	1.521500e+02	2.311581e-02
1.681500e+02	2.372891e-02	1.641500e+02	6.632298e-02	1.761500e+02	2.853104e-02	1.541500e+02	6.592578e-03
1.701500e+02	2.761120e-02	1.661500e+02	3.328861e-02	1.781500e+02	-3.661147e-02	1.581500e+02	-3.424889e-03
1.721500e+02	4.169051e-02	1.681500e+02	2.065915e-02	1.801500e+02	3.336700e-02	1.601500e+02	1.201715e-02
1.741500e+02	3.273634e-02	1.701500e+02	5.649110e-02	1.821500e+02	-3.677698e-03	1.641500e+02	-7.545182e-03
1.761500e+02	2.604921e-02	1.721500e+02	5.566243e-02	1.841500e+02	4.620465e-02	1.661500e+02	6.425477e-03
1.781500e+02	-1.825963e-03	1.741500e+02	5.194155e-02	1.861500e+02	2.909175e-02	1.681500e+02	1.846948e-02
1.801500e+02	2.792773e-02	1.761500e+02	5.565091e-02	1.881500e+02	-5.237768e-03	1.701500e+02	1.947891e-02
1.821500e+02	1.718303e-02	1.781500e+02	2.949808e-02	1.901500e+02	4.309732e-02	1.721500e+02	-9.957238e-04
1.841500e+02	2.587233e-02	1.801500e+02	2.394284e-02	1.921500e+02	1.093055e-02	1.741500e+02	3.119395e-02
1.861500e+02	2.718402e-02	1.841500e+02	8.921888e-03	1.941500e+02	8.596724e-03	1.761500e+02	-6.034320e-03
1.881500e+02	1.656252e-02	1.861500e+02	2.650340e-02	1.961500e+02	1.796664e-02	1.781500e+02	1.635506e-03
1.901500e+02	3.343477e-02	1.881500e+02	2.493340e-02	1.981500e+02	-1.211034e-02	1.801500e+02	2.647334e-02
1.921500e+02	2.991360e-02	1.901500e+02	7.224774e-02	2.001500e+02	1.695861e-02	1.821500e+02	6.285691e-04
1.941500e+02	1.220237e-02	1.921500e+02	5.913659e-02	2.021500e+02	2.486572e-02	1.841500e+02	2.249046e-02
1.961500e+02	1.290683e-02	1.961500e+02	2.554268e-03	2.041500e+02	6.047327e-03	1.861500e+02	2.595691e-02
1.981500e+02	5.285800e-03	1.981500e+02	1.262708e-02	2.061500e+02	4.468207e-02	1.881500e+02	2.999194e-02
2.001500e+02	1.051018e-02	2.001500e+02	2.250815e-02	2.081500e+02	3.148535e-02	1.901500e+02	-1.504076e-02
