# Delay[ns]	Avg Transient	0242 Delay[ns]	0242 Transient	0243 Delay[ns]	0243 Transient	0255 Delay[ns]	0255 Transient	0257 Delay[ns]	0257 Transient	0258 Delay[ns]	0258 Transient	0259 Delay[ns]	0259 Transient
6.015000e+01	-2.038581e-02	4.415000e+01	-2.403493e-04	6.015000e+01	-3.113948e-02	5.015000e+01	-1.040538e-01	4.815000e+01	9.879011e-03	3.615000e+01	-5.739449e-03	4.415000e+01	1.283662e-02
6.215000e+01	-1.821276e-02	4.615000e+01	-3.441033e-02	6.215000e+01	-4.529721e-02	5.215000e+01	-6.056907e-02	5.015000e+01	-5.070956e-02	3.815000e+01	2.599027e-02	4.615000e+01	1.653508e-02
6.415000e+01	-2.447423e-02	4.815000e+01	-6.080730e-02	6.415000e+01	-8.000392e-02	5.415000e+01	-1.565336e-03	5.215000e+01	-2.375158e-02	4.015000e+01	1.797924e-02	4.815000e+01	-3.729477e-02
6.815000e+01	1.983095e-03	5.015000e+01	-8.580271e-03	6.615000e+01	-4.990223e-03	5.615000e+01	-2.452191e-02	5.415000e+01	3.129918e-02	4.415000e+01	1.796958e-02	5.015000e+01	-2.073723e-02
7.015000e+01	-2.133556e-02	5.215000e+01	-7.965788e-03	6.815000e+01	8.939354e-03	5.815000e+01	-2.782871e-02	5.815000e+01	-5.575070e-03	4.615000e+01	-1.618734e-02	5.215000e+01	4.693042e-03
7.215000e+01	-3.652161e-02	5.415000e+01	6.401971e-03	7.015000e+01	-2.276723e-02	6.015000e+01	-9.521764e-03	6.015000e+01	-5.879726e-02	5.015000e+01	-1.382973e-02	5.615000e+01	-2.586362e-02
7.415000e+01	-1.259304e-02	5.615000e+01	-4.096838e-02	7.215000e+01	-2.312496e-02	6.215000e+01	-3.501192e-02	6.215000e+01	-3.205343e-02	5.215000e+01	-2.354345e-03	5.815000e+01	-2.337446e-02
7.615000e+01	-1.309855e-02	5.815000e+01	-2.637233e-02	7.415000e+01	3.073442e-03	6.615000e+01	1.843629e-02	6.415000e+01	-1.563272e-02	5.415000e+01	-5.328659e-02	6.015000e+01	3.643624e-03
7.815000e+01	-1.658064e-02	6.015000e+01	-2.025659e-02	7.615000e+01	-3.479218e-02	7.015000e+01	-4.284433e-02	6.615000e+01	-3.989849e-04	5.615000e+01	1.743177e-02	6.215000e+01	-2.672071e-02
8.015000e+01	-2.183379e-02	6.215000e+01	2.451960e-02	8.015000e+01	-4.499590e-02	7.215000e+01	-4.722974e-02	7.015000e+01	-2.316214e-02	5.815000e+01	1.691333e-02	6.415000e+01	1.203030e-02
8.415000e+01	-1.962240e-02	6.615000e+01	-6.388498e-03	8.215000e+01	-2.294959e-02	7.415000e+01	-4.782454e-02	7.215000e+01	-3.275945e-02	6.015000e+01	-6.243362e-03	6.615000e+01	-4.111880e-02
8.815000e+01	-1.134096e-02	6.815000e+01	3.136662e-02	8.615000e+01	-2.961581e-02	7.615000e+01	-3.004672e-02	7.615000e+01	-1.338176e-02	6.215000e+01	5.287104e-03	6.815000e+01	-1.320518e-02
9.015000e+01	-5.735810e-03	7.015000e+01	-1.249222e-03	8.815000e+01	-1.440623e-03	7.815000e+01	8.335698e-03	7.815000e+01	-1.721477e-02	6.415000e+01	-2.900002e-02	7.015000e+01	-2.843882e-03
9.215000e+01	-1.151883e-02	7.215000e+01	-1.593713e-02	9.015000e+01	-1.175692e-03	8.015000e+01	-9.194539e-03	8.215000e+01	-1.885008e-02	6.815000e+01	-1.773930e-02	7.215000e+01	-1.355500e-02
9.415000e+01	-7.002262e-03	7.615000e+01	-8.666731e-03	9.215000e+01	-3.204364e-02	8.215000e+01	-3.967340e-02	8.415000e+01	-5.730585e-02	7.015000e+01	-3.514659e-02	7.415000e+01	1.888192e-04
9.615000e+01	-1.514604e-02	7.815000e+01	-6.939174e-02	9.415000e+01	-1.082804e-02	8.415000e+01	-8.658857e-03	8.615000e+01	1.870835e-02	7.215000e+01	-8.652342e-02	7.615000e+01	3.649966e-02
9.815000e+01	-1.218882e-02	8.015000e+01	-3.198502e-02	9.615000e+01	-1.084961e-02	8.615000e+01	1.680984e-02	9.015000e+01	1.055750e-02	7.415000e+01	-9.007270e-03	7.815000e+01	1.771451e-02
1.001500e+02	-1.369915e-02	8.415000e+01	2.529988e-02	9.815000e+01	1.294531e-02	8.815000e+01	4.140869e-03	9.215000e+01	-4.698551e-02	7.615000e+01	-2.820354e-02	8.015000e+01	-4.030233e-02
1.021500e+02	-9.897284e-04	8.615000e+01	-5.568297e-03	1.021500e+02	3.613033e-02	9.215000e+01	6.154428e-02	9.415000e+01	-2.823265e-03	7.815000e+01	-4.904156e-03	8.215000e+01	4.934527e-03
1.041500e+02	-1.337364e-02	8.815000e+01	-5.878561e-02	1.041500e+02	-1.105115e-02	9.615000e+01	-3.070565e-02	9.615000e+01	-2.147942e-02	8.215000e+01	7.458668e-03	8.615000e+01	-2.616401e-02
1.061500e+02	-2.219324e-02	9.215000e+01	8.634832e-03	1.061500e+02	-2.203360e-02	9.815000e+01	1.515378e-02	9.815000e+01	-2.361262e-02	8.415000e+01	3.237790e-03	8.815000e+01	-1.328624e-02
