# Delay[ns]	Avg Transient	0242 Delay[ns]	0242 Transient	0243 Delay[ns]	0243 Transient	0257 Delay[ns]	0257 Transient	0258 Delay[ns]	0258 Transient	0259 Delay[ns]	0259 Transient
6.215000e+01	3.186968e-02	6.215000e+01	6.827537e-02	6.215000e+01	3.740539e-02	6.215000e+01	2.360682e-02	6.215000e+01	1.437403e-02	6.215000e+01	1.568679e-02
6.415000e+01	3.136888e-02	6.415000e+01	3.491728e-02	6.415000e+01	1.509668e-02	6.415000e+01	4.508591e-02	6.415000e+01	3.714885e-02	6.415000e+01	2.459566e-02
6.615000e+01	2.914192e-02	6.615000e+01	2.641498e-02	6.615000e+01	3.749224e-02	6.615000e+01	6.113574e-03	6.615000e+01	2.957193e-02	6.615000e+01	4.611687e-02
6.815000e+01	2.473693e-02	6.815000e+01	3.000857e-02	6.815000e+01	4.279067e-02	6.815000e+01	8.866673e-04	6.815000e+01	2.766108e-02	6.815000e+01	2.233768e-02
7.015000e+01	3.489414e-02	7.015000e+01	2.349825e-02	7.015000e+01	4.790940e-02	7.015000e+01	3.134728e-02	7.015000e+01	3.350565e-02	7.015000e+01	3.821009e-02
7.215000e+01	1.392222e-02	7.215000e+01	5.011282e-02	7.215000e+01	2.579978e-03	7.215000e+01	2.077826e-02	7.215000e+01	-1.774319e-02	7.215000e+01	1.388323e-02
7.415000e+01	2.463890e-02	7.415000e+01	3.395404e-02	7.415000e+01	3.032129e-02	7.415000e+01	1.428543e-02	7.415000e+01	2.156418e-02	7.415000e+01	2.306957e-02
7.615000e+01	3.128509e-02	7.615000e+01	4.929233e-02	7.615000e+01	2.801211e-02	7.615000e+01	2.318037e-02	7.615000e+01	1.308404e-02	7.615000e+01	4.285660e-02
7.815000e+01	2.055772e-02	7.815000e+01	1.735184e-02	7.815000e+01	-5.892900e-04	7.815000e+01	2.524468e-02	7.815000e+01	3.098140e-02	7.815000e+01	2.979997e-02
8.015000e+01	2.404746e-02	8.015000e+01	5.496145e-02	8.015000e+01	6.737928e-03	8.015000e+01	-2.651953e-03	8.015000e+01	2.291192e-02	8.015000e+01	3.827796e-02
8.215000e+01	2.281556e-02	8.215000e+01	6.153694e-03	8.215000e+01	2.234699e-02	8.215000e+01	1.720289e-02	8.215000e+01	3.166049e-02	8.215000e+01	3.671373e-02
8.415000e+01	2.631862e-02	8.415000e+01	4.508688e-02	8.415000e+01	2.221686e-02	8.415000e+01	9.217566e-03	8.415000e+01	3.947712e-02	8.415000e+01	1.559468e-02
8.615000e+01	1.945630e-02	8.615000e+01	2.412342e-02	8.615000e+01	1.389351e-02	8.615000e+01	1.702174e-02	8.615000e+01	1.679868e-02	8.615000e+01	2.544417e-02
8.815000e+01	1.400555e-02	8.815000e+01	1.367739e-02	8.815000e+01	2.242824e-02	8.815000e+01	1.143730e-02	8.815000e+01	2.602278e-02	8.815000e+01	-3.537975e-03
9.015000e+01	2.728135e-02	9.015000e+01	3.338193e-02	9.015000e+01	1.852827e-02	9.015000e+01	1.907248e-02	9.015000e+01	3.334138e-02	9.015000e+01	3.208269e-02
9.215000e+01	1.822366e-02	9.215000e+01	3.916848e-02	9.215000e+01	2.313407e-02	9.215000e+01	3.833209e-03	9.215000e+01	6.534395e-04	9.215000e+01	2.432910e-02
9.415000e+01	2.005838e-02	9.415000e+01	1.453608e-02	9.415000e+01	2.927579e-02	9.415000e+01	1.850124e-02	9.415000e+01	2.947788e-02	9.415000e+01	8.500899e-03
9.615000e+01	1.807082e-02	9.615000e+01	2.229912e-02	9.615000e+01	2.033960e-02	9.615000e+01	7.055825e-03	9.615000e+01	1.735965e-02	9.615000e+01	2.329993e-02
9.815000e+01	1.567899e-02	9.815000e+01	4.498959e-02	9.815000e+01	2.849216e-02	9.815000e+01	-8.107503e-03	9.815000e+01	1.643075e-02	9.815000e+01	-3.410015e-03
1.001500e+02	1.984967e-02	1.001500e+02	1.752877e-02	1.001500e+02	3.865546e-02	1.001500e+02	3.850362e-03	1.001500e+02	2.768279e-02	1.001500e+02	1.153096e-02
1.021500e+02	2.493887e-02	1.021500e+02	1.675963e-02	1.021500e+02	2.855434e-02	1.021500e+02	1.119392e-02	1.021500e+02	4.193534e-02	1.021500e+02	2.625115e-02
1.041500e+02	1.570400e-02	1.041500e+02	3.890679e-02	1.041500e+02	-2.276366e-03	1.041500e+02	-2.218745e-02	1.041500e+02	1.304180e-02	1.041500e+02	5.103522e-02
1.061500e+02	2.502119e-02	1.061500e+02	2.723263e-02	1.061500e+02	3.668309e-02	1.061500e+02	1.987720e-02	1.061500e+02	1.992122e-02	1.061500e+02	2.139184e-02
